"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"12.06.2026","53,6060","53,5890","53,6540","53,5056","","0,24%"
"11.06.2026","53,4788","53,2160","53,6967","53,0541","","0,50%"
"10.06.2026","53,2106","53,2389","53,4145","53,0720","","-0,06%"
"09.06.2026","53,2435","53,1831","53,4161","53,0701","","0,11%"
"08.06.2026","53,1825","53,0815","53,3958","52,7902","","0,25%"
"05.06.2026","53,0502","53,4407","53,9400","52,9286","","-0,73%"
"04.06.2026","53,4417","53,3045","53,7028","53,2099","","0,26%"
"03.06.2026","53,3027","53,4328","53,5479","53,1948","","-0,23%"
"02.06.2026","53,4259","53,3854","53,6159","53,2536","","0,07%"
"01.06.2026","53,3861","53,5077","53,7831","53,1216","","-0,16%"
"29.05.2026","53,4698","53,4547","53,7583","53,1326","","0,03%"
"28.05.2026","53,4547","53,3653","53,5797","53,0477","","0,17%"
"27.05.2026","53,3653","53,3646","53,5826","53,2388","","-0,01%"
"26.05.2026","53,3714","53,1913","53,6146","53,0710","","0,35%"
"25.05.2026","53,1877","53,0307","53,5705","52,8862","","0,28%"
"22.05.2026","53,0395","52,9536","53,5380","52,8263","","0,16%"
"21.05.2026","52,9536","52,9794","53,1750","52,7297","","-0,06%"
"20.05.2026","52,9840","52,9012","53,1269","52,7574","","0,17%"
"19.05.2026","52,8967","53,1270","53,2181","52,8145","","-0,43%"
"18.05.2026","53,1247","52,9040","53,2254","52,7199","","0,45%"
"15.05.2026","52,8858","53,0146","53,2614","52,7419","","-0,24%"
"14.05.2026","53,0146","53,1795","53,3525","52,9514","","-0,32%"
"13.05.2026","53,1846","53,2716","53,4360","53,0303","","-0,16%"
"12.05.2026","53,2719","53,4443","53,5948","53,0857","","-0,32%"
