"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"12.06.2026","46,2628","46,1842","46,2656","46,1215","","0,17%"
"11.06.2026","46,1860","46,1323","46,3722","46,0243","","0,13%"
"10.06.2026","46,1277","46,1242","46,2344","46,0056","","0,01%"
"09.06.2026","46,1242","46,1078","46,2279","46,0087","","0,04%"
"08.06.2026","46,1073","46,0737","46,3051","45,8331","","0,02%"
"07.06.2026","46,0968","46,0686","46,1042","46,0627","","0,11%"
"05.06.2026","46,0465","46,0288","46,3896","45,8070","","0,08%"
"04.06.2026","46,0080","45,9640","46,2093","45,8520","","0,10%"
"03.06.2026","45,9625","45,9380","46,0679","45,8379","","0,07%"
"02.06.2026","45,9321","45,8974","46,0601","45,7939","","0,07%"
"01.06.2026","45,8993","45,8900","46,1173","45,6379","","0,09%"
"29.05.2026","45,8575","45,8841","46,0783","45,6290","","-0,04%"
"28.05.2026","45,8768","45,9021","45,9760","45,7130","","-0,05%"
"27.05.2026","45,9020","45,8852","46,0106","45,7836","","0,04%"
"26.05.2026","45,8853","45,6932","46,0503","45,6015","","0,45%"
"25.05.2026","45,6813","45,7043","46,0044","45,4379","","-0,07%"
"22.05.2026","45,7119","45,5415","46,0859","45,5133","","0,30%"
"21.05.2026","45,5769","45,5951","45,7378","45,4562","","-0,04%"
"20.05.2026","45,5929","45,5848","45,6621","45,4984","","0,03%"
"19.05.2026","45,5810","45,5769","45,6465","45,4800","","0,01%"
"18.05.2026","45,5771","45,5625","45,7282","45,3724","","0,18%"
"15.05.2026","45,4951","45,4301","45,6442","45,3415","","0,14%"
"14.05.2026","45,4301","45,4119","45,5348","45,3085","","0,03%"
"13.05.2026","45,4162","45,3840","45,5390","45,2797","","0,07%"
"12.05.2026","45,3841","45,3581","45,5805","45,2265","","0,06%"
