date,tufe_yillik_pct,tufe_aylik_pct
01-2005,9.24,0.55
02-2005,8.69,0.02
03-2005,7.94,0.26
04-2005,8.18,0.71
05-2005,8.7,0.92
06-2005,8.95,0.1
07-2005,7.82,-0.57
08-2005,7.91,0.85
09-2005,7.99,1.02
10-2005,7.52,1.79
11-2005,7.61,1.4
12-2005,7.72,0.42
01-2006,7.93,0.75
02-2006,8.15,0.22
03-2006,8.16,0.27
04-2006,8.83,1.34
05-2006,9.86,1.88
06-2006,10.12,0.34
07-2006,11.69,0.85
08-2006,10.26,-0.44
09-2006,10.55,1.29
10-2006,9.98,1.27
11-2006,9.86,1.29
12-2006,9.65,0.23
01-2020,12.15,1.35
02-2020,12.37,0.35
03-2020,11.86,0.57
04-2020,10.94,0.85
05-2020,11.39,1.36
06-2020,12.62,1.13
07-2020,11.76,0.58
08-2020,11.77,0.86
09-2020,11.75,0.97
10-2020,11.89,2.13
11-2020,14.03,2.3
12-2020,14.6,1.25
01-2021,14.97,1.68
02-2021,15.61,0.91
03-2021,16.19,1.08
04-2021,17.14,1.68
05-2021,16.59,0.89
06-2021,17.53,1.94
07-2021,18.95,1.8
08-2021,19.25,1.12
09-2021,19.58,1.25
10-2021,19.89,2.39
11-2021,21.31,3.51
12-2021,36.08,13.58
01-2022,48.69,11.1
02-2022,54.44,4.81
03-2022,61.14,5.46
04-2022,69.97,7.25
05-2022,73.5,2.98
06-2022,78.62,4.95
07-2022,79.6,2.37
08-2022,80.21,1.46
09-2022,83.45,3.08
10-2022,85.51,3.54
11-2022,84.39,2.88
12-2022,64.27,1.18
01-2023,57.68,6.65
02-2023,55.18,3.15
03-2023,50.51,2.29
04-2023,43.68,2.39
05-2023,39.59,0.04
06-2023,38.21,3.92
07-2023,47.83,9.49
08-2023,58.94,9.09
09-2023,61.53,4.75
10-2023,61.36,3.43
11-2023,61.98,3.28
12-2023,64.77,2.93
01-2024,64.86,6.7
02-2024,67.07,4.53
03-2024,68.5,3.16
04-2024,69.8,3.18
05-2024,75.45,3.37
06-2024,71.6,1.64
07-2024,61.78,3.23
08-2024,51.97,2.47
09-2024,49.38,2.97
10-2024,48.58,2.88
11-2024,47.09,2.24
12-2024,44.38,1.03
01-2025,42.12,5.03
02-2025,39.05,2.27
03-2025,38.1,2.46
04-2025,37.86,3.0
05-2025,35.41,1.53
06-2025,35.05,1.37
07-2025,33.52,2.06
08-2025,32.95,2.04
09-2025,33.29,3.23
10-2025,32.87,2.55
11-2025,31.07,0.87
12-2025,30.89,0.89
01-2026,30.65,4.84
02-2026,31.53,2.96
03-2026,30.87,1.94
04-2026,32.37,4.18
05-2026,32.61,1.71
