date,interest_rate_overnight_lending
20.02.2002,62.0
14.03.2002,61.0
08.04.2002,58.0
30.04.2002,55.0
05.08.2002,53.0
11.11.2002,51.0
25.04.2003,48.0
04.06.2003,45.0
16.07.2003,41.0
06.08.2003,38.0
18.09.2003,35.0
15.10.2003,31.0
05.02.2004,29.0
17.03.2004,27.0
08.09.2004,24.0
20.12.2004,22.0
11.01.2005,21.0
09.02.2005,20.5
09.03.2005,19.5
11.04.2005,19.0
10.05.2005,18.5
09.06.2005,18.25
11.10.2005,18.0
09.11.2005,17.75
09.12.2005,17.5
02.01.2006,16.5
28.04.2006,16.25
08.06.2006,18.0
26.06.2006,20.25
28.06.2006,22.25
21.07.2006,22.5
14.09.2007,22.25
17.10.2007,21.5
15.11.2007,20.75
14.12.2007,20.0
18.01.2008,19.5
15.02.2008,19.25
16.05.2008,19.75
17.06.2008,20.25
18.07.2008,20.25
23.10.2008,19.75
20.11.2008,18.75
19.12.2008,17.5
16.01.2009,15.5
20.02.2009,14.0
20.03.2009,13.0
17.04.2009,12.25
15.05.2009,11.75
17.06.2009,11.25
17.07.2009,10.75
19.08.2009,10.25
18.09.2009,9.75
16.10.2009,9.25
20.11.2009,9.0
17.09.2010,8.75
15.10.2010,8.75
12.11.2010,8.75
17.12.2010,9.0
05.08.2011,9.0
21.10.2011,12.5
22.02.2012,11.5
19.09.2012,10.0
19.10.2012,9.5
21.11.2012,9.0
23.01.2013,8.75
20.02.2013,8.5
27.03.2013,7.5
17.04.2013,7.0
17.05.2013,6.5
24.07.2013,7.25
21.08.2013,7.75
29.01.2014,12.0
18.07.2014,12.0
28.08.2014,11.25
25.02.2015,10.75
25.03.2016,10.5
21.04.2016,10.0
25.05.2016,9.5
22.06.2016,9.0
20.07.2016,8.75
24.08.2016,8.5
23.09.2016,8.25
25.11.2016,8.5
25.01.2017,9.25
01.06.2018,16.5
08.06.2018,19.25
14.09.2018,24.0
21.09.2018,25.5
26.07.2019,21.25
13.09.2019,18.0
25.10.2019,15.5
13.12.2019,13.5
17.01.2020,12.75
20.02.2020,12.25
18.03.2020,11.25
23.04.2020,10.25
22.05.2020,9.75
25.09.2020,11.75
20.11.2020,15.0
27.11.2020,16.5
25.12.2020,18.5
19.03.2021,20.5
24.09.2021,19.5
22.10.2021,17.5
19.11.2021,16.5
17.12.2021,15.5
19.08.2022,14.5
23.09.2022,13.5
21.10.2022,12.0
25.11.2022,10.5
24.02.2023,10.0
23.06.2023,16.5
21.07.2023,19.0
25.08.2023,26.5
22.09.2023,31.5
27.10.2023,36.5
24.11.2023,41.5
22.12.2023,44.0
26.01.2024,46.5
22.03.2024,53.0
27.12.2024,49.0
24.01.2025,46.5
07.03.2025,44.0
21.03.2025,46.0
18.04.2025,49.0
25.07.2025,46.0
12.09.2025,43.5
24.10.2025,42.5
12.12.2025,41.0
23.01.2026,40.0
